tenure_months,age,monthly_charges,total_charges,num_support_calls,avg_gb_download,household_size,num_addon_services,late_payments_12m,contract_type,payment_method,has_online_security,has_tech_support,has_paperless_billing,churned
50,62,62.0,3004.42,5,23.3,6,1,2,0,1,0,1,1,0
52,74,59.49,2881.13,2,10.8,4,1,0,0,0,0,1,0,0
28,34,78.59,2059.1,2,50.9,6,2,0,0,1,0,1,0,1
43,25,53.07,2244.47,2,8.1,1,5,2,2,1,0,0,0,0
22,71,55.62,1260.43,0,31.8,6,2,0,2,1,1,1,1,0
23,35,56.49,1197.07,3,113.8,4,1,0,0,0,1,0,1,1
3,72,39.8,109.01,2,38.7,3,6,0,0,1,1,0,1,1
41,63,80.39,3308.82,4,16.3,4,2,2,0,3,0,1,1,1
47,46,118.68,5152.03,0,20.7,6,4,0,0,2,0,1,0,1
4,77,41.49,152.24,4,59.8,5,3,2,0,0,0,0,1,1
9,51,73.38,653.14,4,24.3,1,6,2,0,3,0,1,1,1
6,18,29.85,178.49,0,49.4,4,0,2,1,0,1,0,0,1
69,45,56.27,3973.87,2,39.6,4,6,2,0,2,1,0,1,1
1,48,73.57,70.96,1,37.3,1,1,1,1,2,1,1,1,1
6,39,47.66,264.28,0,13.7,4,4,2,1,3,1,0,0,0
10,51,66.24,634.81,1,17.4,1,0,1,0,2,1,1,1,1
72,54,79.97,5560.22,4,63.5,3,2,2,0,2,0,1,0,0
22,38,56.6,1121.21,1,142.8,2,0,0,0,3,1,0,0,1
48,71,30.46,1334.79,2,47.0,2,3,0,0,1,0,0,1,0
19,25,61.38,1211.76,3,37.0,1,4,0,0,0,1,0,1,1
14,64,35.73,463.07,3,36.1,5,3,2,0,0,1,1,1,0
50,34,98.45,4480.91,3,35.4,4,4,1,1,2,0,0,1,1
20,29,79.37,1523.67,0,24.5,4,6,1,2,0,1,1,1,0
72,38,66.55,4992.15,2,55.0,5,6,0,0,1,0,1,0,0
58,73,60.83,3685.2,1,45.2,4,5,2,0,0,0,1,1,0
22,65,49.06,992.34,1,50.6,1,5,0,1,0,1,1,1,0
14,59,53.98,712.49,1,50.9,3,5,1,2,1,1,1,1,0
46,55,50.42,2392.32,4,44.7,4,6,2,0,3,1,0,1,0
57,20,106.13,5945.63,4,44.1,1,1,2,1,0,1,1,1,0
59,71,34.56,1920.2,4,14.3,4,0,0,0,1,1,0,1,0
48,24,96.61,4839.54,4,46.5,3,0,0,1,1,1,1,0,0
42,41,42.2,1712.24,1,42.7,2,1,3,2,0,0,1,0,0
48,49,69.43,3240.08,3,30.2,4,4,0,0,3,0,0,1,1
4,65,34.33,127.08,4,38.5,6,3,1,2,1,0,0,1,1
42,18,59.54,2377.55,4,40.2,2,4,0,1,3,0,0,1,1
30,50,59.94,1679.12,2,47.1,4,1,0,0,2,0,0,0,0
14,19,105.61,1400.94,1,12.1,6,5,1,0,0,1,0,0,1
69,54,81.83,5304.47,0,27.5,6,5,0,0,0,1,1,1,0
50,44,60.81,2885.09,2,46.7,4,3,1,1,1,0,1,0,1
48,52,63.93,3073.41,5,49.6,6,2,1,2,0,1,0,1,0
20,64,54.23,1108.65,3,34.5,6,6,1,0,1,0,0,0,1
43,64,97.97,3962.92,1,35.1,1,5,1,0,2,0,0,0,0
29,63,83.12,2315.42,3,17.0,6,6,1,2,0,0,1,0,0
30,80,34.23,968.64,1,20.7,1,1,0,2,1,1,0,1,0
67,19,32.09,2056.55,4,33.6,4,3,0,1,0,0,0,0,1
20,31,85.06,1550.82,3,26.3,6,2,1,0,2,0,1,1,1
8,48,50.28,389.59,2,57.6,4,2,2,0,1,0,0,0,1
70,39,73.44,5283.99,2,51.1,5,0,1,1,1,1,0,0,1
39,49,72.19,2709.01,5,45.7,4,2,0,0,0,0,0,0,0
32,26,67.08,2083.74,2,42.5,5,5,2,0,0,1,1,1,1
6,53,85.31,496.56,2,27.6,5,0,0,2,1,0,0,0,1
62,40,92.56,5676.0,0,55.4,5,0,1,0,3,1,0,0,0
68,57,77.28,5462.88,4,31.6,3,4,0,0,2,1,0,0,0
36,77,87.88,3052.7,1,26.4,6,4,0,1,2,0,0,0,1
20,56,69.76,1325.73,1,32.1,6,3,0,0,0,1,1,0,1
29,25,68.94,1892.77,0,50.0,2,3,0,0,3,0,0,0,0
27,74,61.57,1736.55,1,38.6,4,0,1,0,2,1,1,0,1
28,80,74.97,1955.43,2,33.4,6,3,0,0,3,0,1,1,0
21,49,37.54,796.38,1,22.4,3,5,0,0,0,0,1,0,0
50,27,78.69,3878.0,2,26.4,3,2,2,0,0,0,1,1,1
65,76,81.09,5011.2,0,38.1,6,6,1,0,2,0,1,0,0
13,26,64.79,857.28,3,29.2,5,5,1,2,0,1,1,1,0
30,53,55.03,1648.51,2,40.7,4,2,0,0,3,1,0,0,0
9,26,52.33,448.95,1,29.8,1,6,1,0,2,0,0,0,0
16,18,119.44,1762.31,1,35.8,2,3,0,0,2,1,1,1,1
34,26,80.7,2569.01,1,65.6,4,5,1,1,1,1,1,0,0
46,77,109.64,4963.47,2,79.5,5,4,1,2,1,0,0,1,1
61,78,88.65,5027.26,2,26.6,3,5,0,1,1,0,1,0,1
37,60,79.2,2931.9,2,45.2,4,0,0,1,2,0,0,0,0
38,38,18.0,711.57,3,12.7,4,6,0,1,3,0,1,1,0
38,45,67.01,2325.37,0,80.1,4,6,2,1,0,1,1,0,0
58,73,73.22,4431.98,5,48.8,2,2,0,1,2,0,0,0,0
7,41,83.36,586.46,5,64.7,3,1,1,1,0,0,0,1,1
68,24,72.53,4593.34,3,21.8,1,5,0,1,1,0,0,0,0
44,24,38.91,1640.18,1,54.7,5,2,0,1,2,1,0,1,0
3,33,130.15,353.67,2,61.2,6,6,2,0,3,1,1,0,1
61,50,56.72,3274.31,2,25.7,2,5,0,0,0,1,0,0,1
45,37,98.71,4104.76,1,28.5,3,4,0,0,1,1,0,1,1
47,66,90.83,4390.69,4,37.9,1,5,1,0,3,1,1,0,0
62,28,110.15,7053.74,3,17.4,6,1,1,1,2,0,0,0,1
39,66,79.13,3016.64,1,6.8,3,2,1,0,0,0,0,1,1
52,27,92.68,4495.87,4,13.8,3,2,0,0,2,1,1,1,0
63,22,73.24,4680.2,1,29.2,4,6,1,0,3,0,0,1,0
29,27,80.45,2199.98,5,7.6,6,4,0,1,1,1,1,0,1
21,61,64.7,1357.55,3,65.1,2,4,0,0,0,0,0,1,1
66,63,86.38,5560.84,3,26.8,6,6,2,2,2,0,0,0,0
11,41,79.1,851.72,2,25.1,1,3,0,1,2,1,1,0,0
69,27,90.81,5994.67,1,33.1,6,2,3,2,1,1,0,0,1
30,43,82.99,2424.32,1,28.5,3,0,4,0,3,1,1,1,1
32,67,53.8,1651.92,1,14.4,4,3,0,1,0,1,1,1,0
37,22,70.3,2678.53,1,59.6,4,5,1,0,1,1,1,1,0
57,55,69.35,3600.0,4,29.9,3,3,1,0,3,0,0,1,0
69,56,48.42,3503.07,2,76.9,5,5,3,0,2,1,1,0,0
39,62,49.29,1746.22,3,5.8,4,3,1,0,0,0,1,1,0
52,18,41.4,1939.34,3,21.7,4,6,0,1,1,0,1,0,0
19,39,74.9,1469.49,2,32.4,2,4,0,2,0,0,0,0,1
29,22,67.98,1978.0,2,21.3,5,0,3,0,1,0,0,0,1
4,56,109.24,393.9,2,22.4,3,0,0,0,1,1,1,0,1
20,46,57.16,1053.58,1,27.4,3,1,0,0,3,0,1,0,1
53,63,36.73,2033.22,1,104.4,5,1,2,0,3,0,0,0,0
32,46,87.43,2873.88,1,35.2,5,2,2,0,1,0,0,0,1
29,69,25.94,788.25,1,44.2,6,0,1,0,3,0,0,0,0
52,55,62.55,3393.72,4,25.7,5,5,1,0,1,1,0,0,1
27,66,79.74,2037.1,3,40.0,2,2,1,0,1,0,1,0,1
43,62,56.47,2246.51,3,24.6,2,5,0,0,2,1,0,0,0
60,27,102.68,5629.61,4,55.6,5,1,1,0,0,1,0,0,1
7,76,34.2,237.06,0,13.3,3,5,0,0,0,1,0,1,1
24,45,74.9,1782.69,3,38.5,2,2,1,1,3,0,0,1,1
28,61,68.19,1912.25,1,50.4,6,6,2,0,0,0,1,1,1
36,44,24.93,866.37,2,16.4,3,4,2,1,2,0,1,1,1
15,45,47.5,676.03,1,15.4,1,0,0,0,0,0,0,0,1
57,66,59.34,3346.51,2,28.0,5,5,0,2,0,1,1,1,0
36,29,60.29,2128.32,2,64.9,4,1,0,0,2,0,0,0,1
7,69,42.02,278.1,1,21.2,5,1,2,1,3,0,0,0,1
39,19,75.5,2850.15,3,68.2,3,4,0,1,0,0,1,1,1
14,57,79.08,1103.99,0,44.1,5,4,0,0,0,1,1,1,1
30,49,73.65,2285.06,0,27.9,2,6,1,0,1,1,1,0,0
40,25,102.2,3797.04,0,48.6,2,2,3,0,3,1,1,0,1
4,32,47.87,186.52,1,25.0,4,4,2,0,3,1,1,1,1
1,49,71.02,71.76,1,38.0,3,0,1,0,0,1,0,1,1
7,26,41.17,284.51,3,61.8,4,4,3,0,1,1,1,0,1
68,31,53.22,3715.03,2,33.4,4,2,1,1,0,0,1,0,0
39,73,76.98,3008.8,2,30.6,2,0,1,0,2,1,1,0,0
39,53,95.45,3455.21,2,30.8,4,2,0,0,2,0,1,0,1
61,62,69.83,4405.35,4,36.5,3,5,2,0,1,0,0,1,0
19,39,68.82,1241.15,1,20.9,2,2,0,0,2,1,1,0,1
23,42,74.33,1764.54,2,50.8,1,1,0,1,3,0,1,0,0
63,75,31.99,2089.44,2,15.2,5,3,2,0,2,0,1,0,0
45,41,28.76,1300.66,4,12.3,1,1,4,1,1,0,0,1,0
18,65,49.47,848.42,2,22.6,6,1,0,1,2,1,1,0,0
3,68,110.5,312.58,2,24.2,3,3,0,1,0,0,1,1,1
68,24,62.09,4048.56,1,26.1,3,0,0,1,0,0,1,1,0
36,25,25.28,850.32,2,19.6,1,0,2,1,2,1,0,0,1
31,44,75.71,2414.18,3,27.3,4,2,2,0,2,0,1,0,1
71,25,100.9,7003.67,1,78.0,2,1,0,2,1,1,0,0,0
58,57,81.9,4851.49,2,53.3,2,6,0,1,3,0,1,1,1
6,77,103.99,626.12,3,9.5,2,2,2,2,0,0,1,0,1
19,38,51.26,889.57,4,18.5,5,3,2,2,2,0,1,0,1
64,22,92.01,5509.73,2,44.3,5,0,0,1,0,1,1,0,1
19,44,114.56,2107.66,3,30.3,5,3,2,1,0,0,1,1,1
11,65,59.97,672.16,4,6.3,6,2,1,0,1,0,1,1,1
53,46,22.3,1235.26,3,26.6,3,1,3,0,1,0,0,0,1
6,65,48.93,272.32,1,30.5,6,3,2,0,0,1,1,0,1
61,51,88.88,5665.46,1,14.9,1,2,1,0,0,1,1,1,0
14,80,18.0,251.15,2,40.2,2,0,1,2,1,0,1,0,0
37,64,55.91,2054.91,6,37.7,3,0,0,2,1,0,0,1,1
23,57,74.62,1609.23,5,3.0,4,3,3,2,3,0,1,0,0
63,23,76.86,4615.32,2,28.7,6,4,1,2,0,0,0,0,0
1,56,77.89,81.68,4,51.6,3,6,1,1,0,0,0,0,1
21,51,53.97,1100.37,2,34.5,5,4,1,0,3,1,1,0,0
6,57,62.49,338.63,1,39.8,4,0,1,1,2,0,1,0,1
33,77,68.06,2096.19,4,45.4,3,0,0,1,1,0,0,0,1
36,76,75.02,2455.93,9,44.3,5,4,2,0,3,0,1,1,1
44,61,80.44,3662.64,1,41.3,2,6,2,2,2,1,1,0,0
63,29,35.9,2214.51,4,45.3,3,2,0,2,2,1,1,0,0
33,22,78.98,2542.39,1,22.3,3,6,1,1,1,0,1,1,0
12,26,50.75,608.48,3,41.1,4,1,2,0,1,1,0,0,1
19,80,71.89,1285.18,4,53.2,4,4,1,1,0,0,0,0,1
29,36,28.62,866.86,3,54.6,5,0,0,0,2,0,0,0,0
31,31,92.8,2890.3,3,9.5,4,5,3,1,1,0,1,1,0
65,18,63.48,4241.45,1,69.5,5,4,1,2,3,1,0,0,0
35,54,60.37,2193.88,0,16.5,3,1,2,0,3,1,0,1,0
42,22,84.11,3519.22,2,5.7,6,6,1,0,1,1,1,1,1
18,80,96.51,1722.89,7,21.6,5,3,3,0,0,1,0,0,1
40,59,50.77,1905.55,2,15.6,5,4,0,0,2,1,1,1,0
24,49,95.02,2105.22,1,20.7,5,2,1,0,1,0,0,1,1
55,30,98.05,5463.26,5,36.6,3,3,0,0,2,0,1,1,0
61,77,37.63,2206.02,2,91.6,4,6,0,2,3,1,0,1,0
6,78,103.54,588.57,1,13.0,1,1,1,1,0,0,0,0,1
57,56,102.35,5809.43,1,53.5,4,1,0,0,2,0,1,0,0
61,45,79.41,4807.76,4,63.4,3,5,0,0,1,1,1,0,1
31,34,87.88,2504.19,2,9.3,3,2,0,2,2,1,0,1,0
17,28,48.9,871.84,2,26.7,3,5,1,1,0,0,1,0,1
38,67,106.11,3731.52,0,32.5,6,6,2,0,0,1,1,0,1
53,69,49.45,2539.07,4,36.6,4,0,0,0,0,0,1,0,1
47,31,35.08,1527.05,3,10.4,3,5,1,1,1,0,0,0,0
62,21,97.09,5772.42,2,24.0,2,3,2,0,0,0,0,0,1
22,74,36.55,769.78,3,34.6,2,3,1,0,2,0,0,1,0
53,73,43.42,2299.91,2,111.8,1,3,3,1,1,0,0,0,0
69,32,24.36,1538.25,5,109.1,3,3,1,1,1,0,0,0,0
5,52,58.43,276.64,6,49.5,4,4,1,1,1,1,1,1,1
62,37,69.76,3948.86,2,40.7,6,5,0,0,3,0,1,1,0
55,45,64.09,3593.24,1,34.4,2,5,1,2,2,1,1,0,0
49,19,91.18,4112.93,2,65.4,1,2,1,1,0,0,1,1,1
37,53,78.97,3050.54,4,13.4,2,2,0,0,2,0,1,0,0
50,25,28.84,1398.15,5,32.0,1,3,1,0,1,1,1,1,1
21,27,77.62,1646.43,1,29.6,2,0,1,1,0,0,0,1,1
63,56,68.3,4286.68,2,29.7,6,4,1,0,0,0,0,0,0
33,41,23.04,744.22,1,21.0,1,0,0,2,0,0,1,0,0
16,64,41.98,640.15,1,30.9,6,6,2,2,3,0,1,1,0
68,53,66.88,4164.24,3,65.1,2,3,1,1,0,1,1,0,0
19,75,59.14,1122.0,2,34.2,4,6,2,1,0,1,0,0,0
10,72,42.31,399.06,0,25.3,5,1,0,2,2,1,0,0,0
5,79,118.68,586.98,4,69.9,4,5,0,0,1,0,1,0,1
28,77,74.14,2042.21,0,15.0,1,6,1,0,2,1,0,1,1
2,42,97.76,189.09,4,33.2,6,5,0,0,0,0,1,0,1
26,35,84.68,2095.62,0,29.3,1,1,2,0,1,1,1,0,1
9,50,89.15,819.93,6,40.6,5,4,0,0,0,1,0,0,1
53,80,97.98,4763.89,5,31.3,3,4,0,0,2,0,1,1,1
11,26,92.51,995.1,2,15.6,5,6,0,0,0,0,1,1,1
49,68,95.89,4842.14,5,48.1,4,1,0,0,3,1,1,1,0
2,58,75.73,157.39,3,18.1,5,6,0,1,1,1,1,0,1
30,26,99.13,2966.38,2,28.5,4,0,0,0,3,1,1,0,1
14,54,93.71,1186.33,1,19.2,6,6,1,0,1,1,0,1,0
63,31,73.99,4687.13,2,11.7,4,2,1,0,3,0,0,0,1
6,65,97.06,610.61,0,34.1,2,4,1,2,0,0,1,0,0
57,28,107.82,6314.3,1,40.8,4,1,1,0,3,1,0,0,1
18,33,74.58,1237.51,0,31.6,1,1,3,0,1,0,1,1,0
58,78,97.52,5170.96,0,43.5,5,3,0,0,0,1,0,0,1
6,33,95.35,596.93,1,27.5,5,4,0,0,2,0,1,1,0
44,45,18.0,718.94,4,50.1,6,1,1,1,0,1,1,0,0
56,26,65.47,3635.92,2,30.6,2,1,1,1,1,1,1,1,0
2,42,73.41,136.52,2,33.8,3,4,0,1,1,1,0,0,1
63,51,39.15,2239.41,0,18.5,4,4,0,0,1,1,0,0,0
23,46,90.4,2091.56,1,35.9,6,5,1,2,2,0,1,1,0
54,42,62.42,3072.32,3,43.1,2,1,1,0,1,1,0,1,1
14,62,56.99,746.38,2,18.3,5,4,1,0,0,0,0,0,1
67,33,117.68,8209.99,2,70.5,1,1,0,0,3,1,0,1,1
58,78,52.59,3012.7,1,18.3,3,5,0,0,3,0,1,1,0
27,35,82.65,2263.32,1,33.4,1,5,0,1,0,1,0,1,1
14,76,80.06,1158.79,4,43.7,1,6,0,1,0,0,0,1,0
30,48,69.07,2160.25,0,20.1,1,1,0,0,2,0,1,1,1
3,73,52.94,155.64,4,23.1,1,6,0,2,2,0,0,0,1
20,42,39.24,784.7,1,29.5,1,3,0,1,0,1,1,1,0
64,74,78.32,5024.5,2,37.6,3,1,3,1,1,1,1,1,0
51,24,45.95,2138.13,2,69.7,5,1,3,1,1,1,0,0,0
61,23,63.96,3730.27,1,50.2,3,6,1,1,0,1,1,1,1
2,59,85.91,161.5,1,20.6,5,3,3,0,0,0,0,0,1
68,55,64.37,4136.86,2,25.0,1,0,3,0,2,0,0,0,1
38,74,85.6,3041.77,1,14.1,3,0,2,1,2,0,0,0,0
1,66,68.74,67.39,4,19.1,3,0,0,1,0,1,1,0,1
11,73,99.75,1148.05,2,13.8,6,4,0,0,0,1,1,1,1
66,44,112.23,7315.46,2,31.2,6,0,1,0,0,1,1,0,0
27,68,51.28,1374.61,1,22.8,5,1,2,0,0,1,0,0,1
6,63,48.09,265.29,4,7.8,2,0,0,1,2,1,0,1,0
1,74,47.38,47.67,1,25.4,5,2,0,2,1,0,0,1,1
63,43,39.54,2432.58,3,13.4,5,6,3,2,3,0,1,1,0
28,51,89.99,2587.23,3,9.6,1,2,2,0,0,0,1,0,1
9,22,66.72,597.63,1,51.8,1,1,1,0,0,1,0,0,0
52,70,34.9,1660.76,3,15.6,4,2,0,1,0,1,0,1,0
66,23,91.39,5482.65,1,33.0,2,2,1,2,2,0,0,0,0
58,51,62.37,3544.26,3,24.0,2,2,2,1,2,1,1,0,0
40,21,36.77,1468.25,3,44.8,2,1,0,0,2,1,1,1,0
2,55,69.85,140.92,3,3.9,4,0,1,0,0,0,0,0,1
12,25,79.98,959.58,5,18.4,1,2,0,2,0,0,0,0,1
39,65,62.43,2370.27,1,21.4,1,3,1,0,0,0,0,1,0
40,35,54.48,1966.91,1,17.2,6,3,0,0,2,0,1,1,1
39,75,53.84,2015.63,2,12.2,5,3,1,0,3,1,0,0,1
72,34,79.84,5187.3,1,25.4,3,3,2,1,0,1,1,1,1
45,33,28.03,1216.75,3,37.0,3,3,0,1,1,0,1,0,1
46,30,92.55,3952.47,0,19.2,5,2,0,0,2,1,0,0,0
40,76,99.27,4086.68,1,42.2,3,1,1,1,2,1,0,1,0
12,48,80.67,977.85,2,17.4,4,0,1,1,1,0,0,1,1
36,71,39.23,1381.42,1,14.9,5,1,0,2,2,0,0,0,0
47,76,78.54,3357.41,3,23.3,5,4,3,0,0,1,1,1,1
59,67,60.49,3653.09,1,12.5,6,1,0,1,0,0,0,0,1
9,65,82.98,738.19,6,25.7,2,5,0,1,1,1,1,1,1
56,30,48.84,2601.21,5,49.1,2,4,1,1,3,0,1,1,0
47,52,51.02,2473.15,1,46.2,4,6,0,0,3,1,1,0,0
48,26,48.69,2126.46,3,21.8,1,0,1,0,0,1,0,0,0
38,50,45.61,1620.03,1,18.9,6,5,1,0,3,0,0,0,0
20,29,78.56,1641.79,1,44.5,5,4,1,0,1,0,1,1,1
61,34,55.81,3543.67,0,35.2,2,3,1,0,2,1,0,0,0
20,25,68.73,1297.09,2,27.5,6,5,0,0,3,0,1,0,1
53,53,82.32,4159.66,1,41.1,6,3,1,0,1,0,1,0,0
11,40,59.3,658.66,3,34.8,4,5,1,1,3,1,0,1,0
21,44,112.62,2323.46,0,26.4,6,5,1,1,3,0,1,0,0
51,72,109.84,5365.5,3,20.0,6,1,1,0,0,1,1,0,1
22,66,62.12,1249.14,1,49.2,4,6,2,2,2,1,1,1,1
27,26,92.65,2382.54,4,28.5,1,1,0,0,0,1,0,0,0
32,59,95.88,2922.64,2,52.7,2,2,1,2,1,0,1,0,0
49,31,80.83,4001.71,2,40.0,5,1,1,2,1,0,1,1,0
3,58,45.02,137.77,3,25.3,2,4,2,0,1,0,1,1,0
5,26,35.52,170.33,4,33.8,3,4,1,0,0,0,1,0,1
42,33,46.32,1828.05,0,58.4,3,3,2,1,3,0,1,1,0
61,74,50.72,3182.76,3,7.1,5,2,1,0,1,0,0,0,0
45,72,88.7,3799.84,1,17.1,4,5,1,0,2,0,1,1,0
9,30,48.94,441.59,4,53.1,4,3,0,1,1,0,0,0,1
2,35,61.89,118.96,5,39.1,5,4,2,2,1,1,0,1,1
17,27,63.95,1126.78,0,54.1,2,1,1,0,0,1,1,1,0
49,66,66.27,3174.49,4,51.5,5,6,1,0,0,0,0,1,0
17,42,86.79,1420.77,0,41.9,4,3,2,2,1,1,0,0,0
64,38,42.16,2573.88,1,47.6,5,3,1,0,2,1,0,1,0
21,71,108.99,2075.21,3,101.2,3,1,1,2,2,1,1,0,1
70,42,77.45,5410.11,3,33.4,2,1,1,1,0,0,1,0,0
27,71,30.3,819.34,1,33.7,5,1,2,0,1,0,1,1,1
40,33,107.84,4190.46,1,44.3,1,2,2,0,0,0,1,0,0
38,24,88.53,3199.43,0,22.0,5,0,0,0,3,1,0,1,1
10,56,75.67,712.63,1,82.5,3,1,1,1,1,1,0,0,1
28,18,140.0,3964.96,1,11.2,2,0,1,0,1,1,1,1,1
55,35,43.44,2445.05,2,7.5,2,0,0,1,1,1,1,0,0
72,23,62.16,4147.5,4,8.1,6,2,2,1,0,1,1,1,0
21,59,109.77,2258.06,3,13.8,1,4,1,0,0,0,0,0,1
22,52,42.79,856.26,0,20.5,5,4,1,0,2,1,0,0,0
18,42,78.06,1291.56,1,14.6,4,6,0,1,1,0,1,0,1
13,30,40.15,501.7,2,10.4,1,6,1,1,3,0,0,0,0
1,75,55.19,55.9,1,29.1,5,5,0,1,0,1,0,0,0
41,18,67.19,2492.1,4,33.4,6,5,0,0,3,1,0,0,1
47,68,80.02,3410.8,2,55.1,1,4,2,0,3,1,0,0,0
2,68,79.3,156.97,6,41.6,4,1,0,0,2,1,1,0,1
64,39,93.38,5721.16,2,32.3,5,5,2,0,2,0,1,1,1
64,74,90.68,5236.27,2,38.7,4,5,0,1,2,0,1,0,0
71,64,33.04,2420.69,3,36.4,2,4,0,1,0,0,1,1,0
13,75,94.94,1261.23,2,38.0,4,2,0,0,1,1,1,1,1
45,70,83.47,3422.42,3,24.9,3,6,0,1,3,0,1,1,0
72,22,66.92,4896.61,3,47.5,3,2,2,0,0,1,0,0,1
53,79,140.0,6968.89,2,27.1,5,5,2,0,3,0,1,1,1
70,22,136.88,9130.85,3,43.4,1,3,0,0,2,1,0,0,0
17,58,64.66,1100.0,4,52.1,3,0,1,1,0,1,1,0,1
57,58,67.37,3621.03,2,44.4,2,6,2,1,2,1,1,1,0
59,80,76.35,4307.25,2,14.6,3,1,0,2,1,1,0,0,0
49,19,77.94,3442.1,4,17.4,1,3,1,2,2,1,1,1,1
56,61,24.45,1416.78,6,29.1,5,1,1,0,1,1,1,1,0
28,49,60.27,1535.97,2,39.8,4,4,1,0,2,1,0,0,1
62,21,80.23,4980.06,2,20.3,1,2,1,0,0,1,1,1,0
27,39,46.38,1302.3,1,22.2,2,1,1,0,0,0,1,1,1
9,76,86.38,759.91,0,19.1,3,5,1,1,2,0,1,1,0
21,39,73.02,1456.05,2,14.9,3,6,0,0,3,0,1,0,1
9,80,40.9,339.48,0,32.2,6,2,2,0,1,1,0,0,1
45,58,97.31,4101.17,2,22.2,3,5,1,1,2,0,0,0,0
54,49,46.34,2517.33,5,62.7,1,2,0,1,1,1,0,1,1
44,30,90.24,3574.66,0,39.3,2,5,0,2,2,1,1,1,0
47,76,92.35,4293.97,2,29.8,1,5,1,0,0,0,0,0,0
36,51,83.2,3092.4,3,24.7,3,1,0,2,0,0,0,0,0
51,66,46.1,2330.52,3,21.7,6,2,1,0,0,0,1,1,0
54,57,96.84,4788.18,2,45.3,5,4,2,1,1,0,1,0,0
58,42,37.34,2124.27,1,16.4,1,2,1,0,0,0,1,0,0
41,74,116.85,4475.7,3,69.4,1,3,1,1,0,1,1,0,1
47,73,69.74,3441.34,2,19.0,3,4,1,1,0,1,1,0,0
56,46,100.97,5369.02,2,15.2,6,6,1,0,2,1,0,1,1
36,42,72.7,2399.54,2,50.1,4,6,0,0,0,0,1,0,0
56,20,94.4,5248.27,0,6.9,2,4,1,0,3,0,0,0,1
40,72,44.0,1844.88,3,12.8,3,3,1,1,2,0,0,1,1
23,58,140.0,3273.11,1,36.1,4,6,3,0,0,1,0,1,1
62,20,78.79,4901.96,1,35.8,6,1,1,1,2,1,1,0,1
52,35,97.07,4579.28,2,11.4,2,0,3,2,3,0,0,1,0
59,48,40.89,2370.26,1,31.2,5,2,2,1,0,1,1,1,0
67,32,67.27,4076.87,1,23.9,3,4,1,0,0,1,0,1,0
